title,company,location,link
[반도체 제조社] 공정 오퍼레이터/설비 엔지니어 모집,(주) 와이솔,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41456946
전기팀 관리직(기사) 직원을 모집합니다.,(주)대림제지,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41087832
안전팀 관리직(산업안전기사) 직원을 모집합니다.,(주)대림제지,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41039515
제품 납품업무를 담당할 직원을 모집합니다.,(주)디엔에프,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41146255
CS엔지니어 (평택/국내) 신입/경력직 채용,㈜엘오티베큠,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41224916
[3D검사사업팀] SW 개발 엔지니어 채용,(주)필옵틱스,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41318832
전장설계 및 모션제어 신입 & 경력직 채용,(주)필옵틱스,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41336045
[제어기술2팀] 장비 PC제어 및 SW개발 신입/경력직 채용,(주)필옵틱스,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41336371
[반도체사업실] 공정개발 경력자 및 장비 SW개발 경력자 채용,(주)필옵틱스,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41364361
(주) DE&T 구매 관리 경력 사원 모집,디이엔티,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41392501
[설계실] 반도체/디스플레이 장비 설계 신입/경력 채용,(주)필옵틱스,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41392838
[영업2팀] 해외영업(중국) 경력직 채용의 건,(주)필옵틱스,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41394423
전기전자/반도체 부품 라벨링/입출고 업무 정규직,한국알프스물류(주),경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41428494
(주)아이엠텍 구매팀 경력사원 채용공고,아이엠텍,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41066956
제조기술팀 사원 신입 채용 - 정규직,(주)이에스티,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41092241
품질팀 신입 경력직 채용 - 정규직,(주)이에스티,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41369536
물류/보세창고 입출고관리 직원모집,조양국제종합물류(주),경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41447565
연구소 (전장설계/공정분석) 신입/경력직 채용,㈜엘오티베큠,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41240960
환경안전 경력직 채용,㈜엘오티베큠,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41242593
[삼성전자 채용박람회] 21년 하반기 R&D 신입 공개채용,㈜엘오티베큠,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41308357
구매자재팀 경력직 채용,㈜엘오티베큠,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41354442
기술연구소 프린터 펌웨어 개발 신입사원 모집,주식회사 에이루트,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41285798
기술연구소 프린터 펌웨어 개발 경력사원 모집,주식회사 에이루트,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41285751
기술연구소 기구팀 경력사원 모집,주식회사 에이루트,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41336530
무역사무담당자 모집,(주)씨아이제이코리아,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41423262
